시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3100000,211,1970,1,미용업(일반),19701023,신신미용실,14.57,02 9360855,19701023,,19701023,상계3.4동,20160628,개인사정,일반미용업,20060523,0,0,0,2,0,N,0,3100000-211-1970-00001,내국인,,서울특별시 노원구 덕릉로 840-1 (상계동),서울특별시 노원구 상계동  111번지 535호  
3100000,211,1977,1,미용업(일반),19770915,오다헤어(광운대역점),16.8,209174911,20060830,,19891226,월계1동,,,일반미용업,20060922,0,0,0,6,0,N,0,3100000-211-1977-00001,내국인,,서울특별시 노원구 광운로 58 (월계동),서울특별시 노원구 월계동  383번지 28호  
3100000,211,1982,1,미용업(일반),19820602,엠씨헤어,14.44,02  979 1080,20140328,,19820602,공릉1동,,,일반미용업,,0,0,0,8,0,N,0,3100000-211-1982-00001,내국인,,서울특별시 노원구 동일로 1096 (공릉동),서울특별시 노원구 공릉동  362번지 7호  
3100000,211,1984,1,미용업(일반),19840410,영,23.1,209038178,19840410,,20161128,월계2동,,,일반미용업,20060523,0,0,0,2,0,N,0,3100000-211-1984-00001,내국인,,서울특별시 노원구 초안산로2라길 19-20 (월계동 1층 일부),서울특별시 노원구 월계동  274번지 34호  1층 일부
3100000,211,1985,1,미용업(일반),19850628,정 미용실,44.2,02 9362176,19850628,,20170623,상계3.4동,,,일반미용업,20060523,0,0,0,3,0,N,0,3100000-211-1985-00001,내국인,,서울특별시 노원구 덕릉로 804 203호 (상계동 대림프라자 상가동),서울특별시 노원구 상계동  108번지 1호  대림프라자 상가동-203
3100000,211,1985,1,미용업(일반),19850628,정 미용실,44.2,02 9362176,20191223,,20170623,상계3.4동,,,일반미용업,,0,0,0,3,0,N,0,3100000-211-1985-00001,내국인,,서울특별시 노원구 덕릉로 804 203호 (상계동 대림프라자 상가동),서울특별시 노원구 상계동  108번지 1호  대림프라자 상가동-203
3100000,211,1986,1,미용업(일반),19860920,전연순미용실,47.52,02 9753632,19860920,,20140625,월계3동,,,일반미용업,20060523,0,0,0,4,0,N,0,3100000-211-1986-00001,내국인,,서울특별시 노원구 마들로 111 (월계동 미성상가 가동 204호),서울특별시 노원구 월계동  13번지 가 미성상가-204
3100000,211,1986,2,미용업(일반),19860917,김민재미용실,20,02 9184935,19980711,,20160425,월계1동,,,일반미용업,20050608,0,0,0,2,0,N,0,3100000-211-1986-00002,내국인,,서울특별시 노원구 월계로44나길 17 (월계동),서울특별시 노원구 월계동  534번지 212호  1층
3100000,211,1986,3,미용업(일반),19861028,리안헤어,53.3,02 9336186,20160720,,20120912,상계1동,,,일반미용업,20060523,0,0,0,6,0,N,0,3100000-211-1986-00003,내국인,,서울특별시 노원구 동일로 1651 2층 제4호 (상계동),서울특별시 노원구 상계동  1118번지  2층-제4
3100000,211,1986,4,미용업(일반),19860916,연화,47,02  951 3960,19950714,,20170620,상계5동,,,일반미용업,,0,0,0,3,0,N,0,3100000-211-1986-00004,내국인,,서울특별시 노원구 한글비석로24길 25 (상계동),서울특별시 노원구 상계동  169번지 279호  1층
