시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3160000,211,1976,1,미용업(일반),19760624,금발 미용 세상,25.52,226831415,19970903,,19970903,개봉제3동,,,일반미용업,,0,,,4,,N,,3160000-211-1976-00001,내국인,,서울특별시 구로구 개봉로11길 31 (개봉동),서울특별시 구로구 개봉동  351번지 23호  
3160000,211,1976,2,미용업(일반),19760802,은하 미용실,23.1,02 8627897,19980624,,19980624,가리봉동,,,일반미용업,,0,,,2,,N,,3160000-211-1976-00002,내국인,,서울특별시 구로구 우마길 11 (가리봉동),서울특별시 구로구 가리봉동  123번지 34호  
3160000,211,1979,1,미용업(일반),19790323,쎄븐미용실,21.7,226823385,19980327,,20041123,오류제1동,,,일반미용업,,0,,,3,,N,,3160000-211-1979-00001,내국인,,서울특별시 구로구 경인로15길 23 (오류동1호),서울특별시 구로구 오류동  81번지 1호  1호
3160000,211,1982,1,미용업(일반),19820128,미샵,42.9,02 8649497,19980624,,19980624,구로제4동,,,일반미용업,,0,,,4,,N,,3160000-211-1982-00001,내국인,,서울특별시 구로구 도림로 69 (구로동),서울특별시 구로구 구로동  313번지 126호  
3160000,211,1982,2,미용업(일반),19820724,온천,23.46,226835408,19980624,,20100319,수궁동,,,일반미용업,,0,0,0,2,0,N,0,3160000-211-1982-00002,내국인,,서울특별시 구로구 부일로9길 133 2층동 203호 (온수동온수빌리브),서울특별시 구로구 온수동  141번지 2층 온수빌리브-203
3160000,211,1983,1,미용업(일반),19830210,솔로몬미용실,29.7,02 8669289,19990203,,20120531,가리봉동,,,일반미용업,,0,0,0,2,0,N,0,3160000-211-1983-00001,내국인,,서울특별시 구로구 디지털로19길 51 (가리봉동),서울특별시 구로구 가리봉동  123번지 50호  
3160000,211,1983,2,미용업(일반),19830315,반도 미용실,22.85,226112245,19970903,,19970903,오류제1동,,,일반미용업,,0,,,3,,N,,3160000-211-1983-00002,내국인,,서울특별시 구로구 고척로16길 72 (오류동),서울특별시 구로구 오류동  27번지 45호  
3160000,211,1983,3,미용업(일반),19830902,비녀헤어라인,23.1,02 8519817,20060329,,20010912,구로제2동,,,일반미용업,,0,,,3,,N,,3160000-211-1983-00003,내국인,,서울특별시 구로구 구로동로49길 8-1 (구로동),서울특별시 구로구 구로동  496번지 43호  
3160000,211,1983,4,미용업(일반),19830602,우성 미용실,136.8,226131841,19970908,,20131022,수궁동,,,일반미용업,,0,,,3,,N,,3160000-211-1983-00004,내국인,,서울특별시 구로구 부일로 875 (온수동),서울특별시 구로구 온수동  9번지 9호  
3160000,211,1983,5,미용업(일반),19830919,송이,9,02 8668700,19980624,,19980624,구로제2동,,,일반미용업,,0,,,2,,N,,3160000-211-1983-00005,내국인,,서울특별시 구로구 구로동로42길 61 (구로동),서울특별시 구로구 구로동  491번지 8호  
3160000,211,1983,6,미용업(일반),19830516,영진,35.1,226142304,19970903,,19970903,오류제1동,,,일반미용업,,0,,,2,,N,,3160000-211-1983-00006,내국인,,서울특별시 구로구 고척로4길 15-22 (오류동),서울특별시 구로구 오류동  11번지 27호  
3160000,211,1983,7,미용업(일반),19831224,스마일,13.2,02 8659552,20080219,,20070321,구로제3동,,,일반미용업,20080506,0,,,2,,N,,3160000-211-1983-00007,내국인,,서울특별시 구로구 도림로10길 29-1 (구로동),서울특별시 구로구 구로동  791번지 35호  
3160000,211,1983,7,미용업(일반),19831224,스마일,33.66,02 8659552,20080219,,20070321,구로제3동,,,일반미용업,20080506,0,,,2,,N,,3160000-211-1983-00007,내국인,,서울특별시 구로구 도림로10길 29-1 (구로동),서울특별시 구로구 구로동  791번지 35호  
3160000,211,1983,7,미용업(일반),19831224,스마일,13.2,02 8659552,20080219,,20181002,구로제3동,,,일반미용업,20080506,0,,,2,,N,,3160000-211-1983-00007,내국인,,서울특별시 구로구 도림로10길 27 1층 101호 (구로동),서울특별시 구로구 구로동  791번지 28호  
3160000,211,1983,7,미용업(일반),19831224,스마일,33.66,02 8659552,20080219,,20181002,구로제3동,,,일반미용업,20080506,0,,,2,,N,,3160000-211-1983-00007,내국인,,서울특별시 구로구 도림로10길 27 1층 101호 (구로동),서울특별시 구로구 구로동  791번지 28호  
